,m,a,b
Drizzle,0.45,0.45,5.0
Rain,2.85,3.02,9.0
Ice Crystals,3.2,2.6,10.0
Aggregates,0.7,0.7,7.0
Wet Snow,1.6,1.2,10.0
Vertical Ice,-0.9,1.0,10.0
Low-Density Graupel,0.3,1.0,6.0
High-Density Graupel,0.6,1.5,2.0
Hail,0.12,0.5,8.0
Big Drops,4.3,2.0,8.0
