,m,a,b
Drizzle,-48.38,5.5,10
Rain,-25,5.5,4
Ice Crystals,-23.33,7.98,20
Aggregates,-46.455,19.675,20
Wet Snow,-13.605,6.445,8
Vertical Ice,-29.68,11.9,20
Low-Density Graupel,-43.18,12.92,8
High-Density Graupel,-35.895,13.205,3
Hail,-22.245,7.765,8
Big Drops,-34.08,3.06,10
