,m,a,b
Drizzle,0.46,0.46,5.00
Rain,2.30,2.20,9.00
Ice Crystals,2.90,2.70,10.00
Aggregates,1.00,1.10,7.00
Wet Snow,1.30,0.90,10.00
Vertical Ice,-0.90,0.90,10.00
Low-Density Graupel,0.90,0.90,6.00
High-Density Graupel,1.60,1.20,3.00
Hail,0.14,0.56,8.00
Big Drops,4.40,1.90,8.00
