,m,a,b
Drizzle,-48.33,5.5,10
Rain,-25.091,5.5,4.0
Ice Crystals,-23.445,8.105,20.0
Aggregates,-45.935,19.435,20.0
Wet Snow,-13.225,6.815,8.0
Vertical Ice,-31.085,13.3,20.0
Low-Density Graupel,-42.325,13.405,8.0
High-Density Graupel,-34.34,13.66,3.0
Hail,-22.475,6.765,8.0
Big Drops,-32.58,0.94000,10.0
