,m,a,b
Drizzle,2.00,29.00,10.00
Rain,41.50,15.50,10.00
Ice Crystals,-3.00,22.00,20.00
Aggregates,17.00,17.00,15.00
Wet Snow,21.00,22.00,10.00
Vertical Ice,-1.10,25.10,20.00
Low-Density Graupel,37.00,8.00,8.00
High-Density Graupel,49.00,9.00,6.00
Hail,58.00,12.00,10.00
Big Drops,57.00,9.00,10.00
