,m,a,b
Drizzle,0.030,0.030,2.000
Rain,5.500,5.500,10.000
Ice Crystals,0.080,0.080,6.000
Aggregates,-0.008,0.300,1.000
Wet Snow,0.250,0.430,6.000
Vertical Ice,-0.750,0.750,30.000
Low-Density Graupel,0.100,0.080,3.000
High-Density Graupel,1.900,1.900,3.000
Hail,0.6,3.500,6.000
Big Drops,3.400,3.300,6.000
