,m,a,b
Drizzle,0.35,0.35,5.00
Rain,2.60,2.80,9.00
Ice Crystals,3.20,2.60,10.00
Aggregates,0.60,0.60,7.00
Wet Snow,1.30,1.30,10.00
Vertical Ice,-0.90,1.00,10.00
Low-Density Graupel,0.30,0.80,6.00
High-Density Graupel,1.00,1.90,8.00
Hail,0.14,0.55,8.00
Big Drops,4.00,1.70,8.00
