,m,a,b
Drizzle,0.03,0.03,2.000
Rain,12.75,13.0,60.0
Ice Crystals,0.15,0.150,6.000
Aggregates,0.2,0.2,1.000
Wet Snow,-7.0,8.1,6.000
Vertical Ice,-0.79,0.79,3.000
Low-Density Graupel,0.7,2.1,3.000
High-Density Graupel,1.55,3.05,3.000
Hail,0.5,1.5,6.000
Big Drops,3.6,3.3,6.000
