,m,a,b
Drizzle,-48.33,5.5,10
Rain,-25,5.5,4
Ice Crystals,-30.06,14.63,20
Aggregates,-34.4,25.6,20
Wet Snow,-13.195,6.855,8
Vertical Ice,-30.7,12.9,20
Low-Density Graupel,-50.84,24.71,8
High-Density Graupel,-44.585,22.565,3
Hail,-22.24,7.04,8
Big Drops,-33.28,3.13,10
