,m,a,b
Drizzle,1.75,29.00,10.00
Rain,39.00,19.00,10.00
Ice Crystals,-2.80,22.10,20.00
Aggregates,17.00,18.10,10.00
Wet Snow,24.00,21.30,10.00
Vertical Ice,-1.00,25.00,20.00
Low-Density Graupel,37.00,9.20,8.00
High-Density Graupel,44.30,10.20,6.00
Hail,62.30,14.30,10.00
Big Drops,57.80,8.50,10.00
