,m,a,b
Drizzle,2.0,29.0,10.00
Rain,42.0,17.0,10.00
Ice Crystals,-3.00,22.00,20.00
Aggregates,16.0,17.0,15.00
Wet Snow,28.0,29.0,10.00
Vertical Ice,-1.1,25.10,20.00
Low-Density Graupel,36.0,9.0,8.0
High-Density Graupel,43.0,9.0,5.0
Hail,59.0,10.3,6.0
Big Drops,56.0,9.0,10.0
