,m,a,b
Drizzle,1.000,0.015,3.000
Rain,1.000,0.020,2.000
Ice Crystals,1.000,0.020,3.000
Aggregates,0.998,0.020,3.000
Wet Snow,0.780,0.200,10.000
Vertical Ice,0.970,0.040,3.000
Low-Density Graupel,1.000,0.010,1.000
High-Density Graupel,1.000,0.040,4.000
Hail,0.960,0.100,3.000
Big Drops,0.980,0.040,3.000
