,m,a,b
Drizzle,40.000,41.000,50.000
Rain,48.000,51.000,30.000
Ice Crystals,-50.000,50.000,25.000
Aggregates,-25.000,26.000,15.000
Wet Snow,1.000,3.500,5.000
Vertical Ice,-50.000,50.000,25.000
Low-Density Graupel,-50.000,50.000,25.000
High-Density Graupel,-2.500,20.000,2.000
Hail,0.000,100.000,5.000
Big Drops,48.000,51.000,30.000
